npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40205728,SMP NEGERI SATU ATAP BUMI HIJRAH,Bumi Hijrah,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0594,123.5935
40200149,SD NEGERI BUMI HIJRAH,Bumi Hijrah,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.058867,123.593534
69931894,TK TAHZIBUL AKHLAQ,DUSUN II,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.072847,123.858708
40200112,SD NEGERI MBUANG-MBUANG,Mbuang-Mbuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.074,123.8603
40204220,SMP NEGERI SATU ATAP MBUANG-MBUANG,Jl. Bone No. 1 Desa Mbuang-mbuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0632,123.861
40200375,SD INPRES NGGASUANG,Jl. Nggasuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.044,123.7591
40206504,SMP NEGERI SATU ATAP NGGASUANG,Desa Nggasuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0418284,123.7760134
69931889,TK NEGERI 2 BOKAN KEPULAUAN,DUSUN I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-2.009957,123.808794
40200376,SD INPRES NDINDIBUNG,Dusun I Desa Ndindibung,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0121,123.8111
69931964,PAUD MELATI,Dusun I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-2.014889,123.832569
40200277,SDN Inpres Bolokut,Desa Bolokut,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0129,123.8309
69945601,SMPN SATU ATAP BOLOKUT,Jl. Abudjar No. 1,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0117,123.8301
69931526,TK NURUL ILMA,DUSUN I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.013887,123.864523
40200377,SDN INPRES NDENDEK,NDENDEK,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0138,123.8645
40204002,SMP NEGERI SATU ATAP NDENDEK,Ndendek,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0137,123.8644
69949982,PAUD  NURUL SALAM DUSUN NDENDEK,DUSUN II,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.013624,123.86438
69931599,TK NEGERI 3 BOKAN KEPULAUAN,"Desa Mandel, Kec. Bokan Kepulauan",KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.998774,123.846723
40204221,SMP NEGERI SATU ATAP MANDEL,Jl. Taman Siswa No. 01 Mandel,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9987,123.8466
40200383,SDN INPRES MANDEL, MANDEL,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9986,123.8467
40204214,SD NEGERI BUMI BAHARI,Dusun IV Bumi Bahari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9932,123.4812
70003788,PAUD TERPADU HARAPAN BARU,Bumi Bahari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.9927,123.4813
40206534,SD NEGERI KEAK,Desa Keak,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9908,123.7935
40204015,SMAN 1 BOKAN KEPULAUAN,JL. BOLOTONA NO. 10,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMA,NEGERI,-1.9878,123.7914
69931589,TK NEGERI 1 BOKAN KEPULAUAN,DUSUN III,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.983688,123.7871926
40200165,SD NEGERI BUNGIN,Desa Bungin,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9835,123.7876
40200188,SMP NEGERI 1 BOKAN KEPULAUAN,Jl. Ki Hajar Dewantara No.5 Bungin,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9815,123.7868
60727169,MIS BUNGIN,BUNGIN,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MI,SWASTA,-1.977,123.7856
40200144,SD NEGERI PANAPAT,Desa Panapat,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9894,123.8597
40210191,MTSS DDI AL HIKMAH,DESA PANAPAT,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,SWASTA,-1.9888,123.8603
40209828,MAS BENGGAWI TOROPOT,DESA TOROPOT,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MA,SWASTA,-1.9452,123.632
69819709,MIS Al-Maarif,Desa Toropot,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MI,SWASTA,-1.945,123.6314
60727735,MTSS KSM TOROPOT,DESA TOROPOT,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,SWASTA,-1.9449,123.632
40200342,SD INPRES TOROPOT,DESA TOROPOT,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9444,123.6314
40200287,SD INPRES KAWALU,Dusun Kawalu,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9585,123.8493
40206507,SMP NEGERI SATU ATAP KAWALU,Dusun Kawalu,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9585,123.8496
40200236,SD NEGERI TADUNO,Taduno,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9236842,123.0609203
69949879,PAUD FLAMBOYAN,Dusun I,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.925206,123.062882
69932250,TK NEGERI 1 BANGKURUNG,DUSUN 2,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.913744,123.049639
40200179,SD NEGERI KANARI,Kanari,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.913165,123.049673
40200249,SMA NEGERI 1 BANGKURUNG,Jl. J. Yasibang,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMA,NEGERI,-1.919,123.0768
40200207,SMP NEGERI 1 BANGKURUNG,Lantibung,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9168,123.0763
40200322,SD INPRES LANTIBUNG,Lantibung,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.916617,123.078015
69969608,TK NEGERI 7 BANGKURUNG,DUSUN LALA,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.917016,123.078781
69930840,TK NEGERI 4 BOKAN KEPULAUAN,Dusun I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.923,123.556
69949995,PAUD TK MUTIARA BUNDA,Jalan Keramat Dusun I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.91428,123.67309
40206522,SMP NEGERI SATU ATAP KOKUDANG,Desa Kokudang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9141,123.673
40200175,SD NEGERI KOKUDANG,Kokudang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9141,123.6732
40205705,SMKN 1 BOKAN KEPULAUAN,Jalan Bukit Harapan,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMK,NEGERI,-1.9237,123.7096
69931653,PAUD TERPADU MONDOPULI,Dusun I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.923027,123.709332
40200109,SD NEGERI MINANGA,Desa Minanga,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9229,123.7096
40206511,SMP NEGERI SATU ATAP MINANGA,Desa Minanga,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9231,123.7099
40200177,SD NEGERI KAUKES,Desa Kaukes,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9229,123.7098
40200199,SMP DDI KAUKES,JL. PADANG. NO O4 KAUKES,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,SWASTA,-1.9067932,123.7777024
40200103,SD NEGERI PAISUBEBE,Desa Paisubebe,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9073691,123.7722616
40210192,MTSS AL KHAIRAAT PAISUBEBE,DESA PAISUBEBE,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,SWASTA,-1.9068,123.7735
70007023,PAUD TUNAS MEKAR,"Desa Paisubebe, Kec. Bokan Kepulauan",KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.9064478,123.7716179
69829128,TK BUDI LUHUR DDI,DESA KAUKES,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.90509,123.779612
69830650,SMP NEGERI 3 SATAP BANGKURUNG,"ds. DUNGKEAN, BANGKURUNG",KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.90389,123.078108
40206523,SMP NEGERI SATU ATAP LALONG,Desa Lalong,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8897,123.0685
40200354,SD NEGERI LALA,Lala,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9045,123.0888
40200367,SD NEGERI I MBELEANG,Lalong,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.8886,123.0695
69932074,TK NEGERI 2 BANGKURUNG,Dusun I,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.888403,123.069219
69932882,TK NEGERI 8 BANGKURUNG,DUSUN II,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.884025,123.098822
69993584,MA BENGGAWI KALUPAPI,JLN. LAPANGAN BOLA NO. 01 KALUPAPI,Kec. Banggai,Kab. Banggai Laut,Prov. Sulawesi Tengah,MA,SWASTA,-1.8838,123.0981
40200291,SDN INPRES KALUPAPI,KALUPAPI,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.884289,123.100409
40210190,MTSS KSM KALUPAPI,JL. LAPANGAN BAL NO. 1 KALUPAPI,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,SWASTA,-1.8825,123.0986
69829131,TK NEGERI 3 BANGKURUNG,DESA BONE-BONE,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.881473,123.104361
69888564,SMP NEGERI 3 BOKAN KEPULAUAN,Kaukes,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8992005,123.7790712
40200238,SD NEGERI SUNDENG,Sundeng,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.8746,123.0585
40200317,SD INPRES 2 MBELEANG,Mbeleang,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.855588,123.060782
69932296,TK NEGERI 5 BANGKURUNG,DUSUN II,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.852247,123.061638
40200152,SDN BONE BONE,BONE-BONE,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.875362,123.102132
40200372,SD INPRES TABULANG,Tabulang,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.8329452,123.0606234
40200230,SD NEGERI TIMPAUS,Timpaus,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.8415,123.999
40204010,SMP NEGERI 2 BOKAN KEPULAUAN,Kasuari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8451,124.0214
69964704,TK NYIUR TIMPAUS,DUSUN 2,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.845491,124.021708
69829107,TK MUTIARA KSM KASUARI,DESA KASUARI,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.847448,124.022761
40200178,SD NEGERI KASUARI,Desa Kasuari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.8467,124.0225
69932289,TK PBAPI TADIANABUNGIN,DUSUN I,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.804147,123.074437
69965531,TK NEGERI 6 BANGKURUNG,Jalan Pahlawan ,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.79344,123.079705
40200193,SMP NEGERI 2 BANGKURUNG,Sasabobok,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.792,123.08
69920092,SMK SASABOBOK,Ds. Sasabobok Bangkurung,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMK,SWASTA,-1.7972594,123.1080693
40200294,SD INPRES BONTOSI,Bontosi,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7869,123.272
69966983,TK NEGERI 3 LABOBO,JALAN TRANS LABOBO,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.7857,123.2714
40200237,SD NEGERI TADIANABUNGIN,Sasabobok,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7711,123.0895
69950793,TK NEGERI 4 BANGKURUNG,Dusun I,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.772754,123.101451
40200182,SD NEGERI DUNGKEAN,Dungkean,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7711,123.0994
69966992,TK AN-NUR,JALAN PAHLAWAN NO 4,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-1.784654,123.307918
40200357,SD NEGERI ALASAN,Alasan,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.751022,123.3016349
69966989,KB GLORIA,JALAN TRANS LABOBO,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.742694,123.296093
40200391,SD INPRES PADINGKIAN,Padingkian,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7427,123.2963
40200219,SMP NEGERI 1 LABOBO,Lipulalongo,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.7374447,123.3331894
40206524,SMAN 1 LABOBO,Jln Bubung No. 01 Lipulalongo KP. 94792,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMA,NEGERI,-1.734579,123.337617
40200168,SD NEGERI LIPULALONGO,Jl. Kampung Baru No. 01,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.734027,123.337848
40200235,SD NEGERI TALAS,Talas Kecamatan Labobo,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7297285,123.348278
69898772,Babul Hasanah,Teratai,Kec. Banggai Utara,Kab. Banggai Laut,Prov. Sulawesi Tengah,RA,SWASTA,-1.7019,123.18019
69898773,Al Amin Sumondung,Desa Sumondung Kecamatan Bulagi,Kec. Bulagi,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,RA,SWASTA,-1.7014,123.18014
69829115,TK NEGERI 2 LABOBO,DESA ALASAN,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.724794,123.307841
69965035,SPS TAMAN PENDIDIKAN ANAK SEKOLAH MINGGU (TP-ASM) KANAAN,JALAN TRANS LABOBO,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SPS,SWASTA,-1.72275,123.309357
70012700,SMP Negeri 3 Labobo,Dusun III,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.71991,123.3126819
40200260,SDN INPRES LALONG,Lalong,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7215,123.3703
69932145,TK NEGERI 7 LABOBO,DUSUN II,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.72175,123.370525
40200242,SD NEGERI TOLOKIBIT,Desa Tolokibit,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.718,123.5349
40206658,SMP NEGERI SATU ATAP TOLOKIBIT,Jl. Untika No. 4 Desa Tolokibit,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.7178,123.5348
69829129,TK NEGERI 4 BANGGAI SELATAN,DESA TOLOKIBIT,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.71758,123.535654
40204044,SD NEGERI POMPON,DUSUN BALAS,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7136,123.552
69954926,PAUD PELITA,Jalan Trans Banggai,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.717038,123.576799
40200289,SD INPRES KAPELAK,Labuan Kapelak,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7167,123.5768
69829118,TK NEGERI 1 BANGGAI SELATAN,DESA MATANGA,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.714724,123.589218
40200368,SD NEGERI 1 MATANGA,Jalan Beringin No.01 Matanga,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7142,123.5888
40200318,SDN 2 Inpres Matanga,Desa Matanga,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.7133,123.5876
40200220,SMP ALKHAIRAAT MATANGA,Matanga,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,SWASTA,-1.7122,123.5908
69898764,RA Ahluhu Sati Sinorang,sinorang,Kec. Batui Selatan,Kab. Banggai,Prov. Sulawesi Tengah,RA,SWASTA,-1.6925872,122.233613
60727737,MTSS ISHLAHUL UMMAH,DESA BONTOSI,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,SWASTA,-1.6929,123.3427
40200102,SD NEGERI PAISULAMO,Paisulamo,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.6922,123.3426
69970443,TK NEGERI 5 LABOBO,Jln. Trans Labobo,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.692212,123.343185
69965723,TK NEGERI 6 LABOBO,JALAN TRANS LABOBO,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.681966,123.352329
40200351,SD INPRES TENGKEL,Tengkel Kecamatan Labobo,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.6809,123.354
69953309,TPQ AL-HUDA MANSALEAN,DUSUN LELANG II,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SPS,SWASTA,-1.686276,123.382371
40209831,MAN BANGGAI LAUT,DESA MANSALEAN,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,MA,NEGERI,-1.6847,123.3811
40200213,SMP NEGERI 2 LABOBO,Jl. Siswa No. 5 Mansalean,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.6863,123.3839
69930797,TK NEGERI 1 LABOBO,Jalan Budia,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-1.685732,123.383323
40200142,SDN PEMBINA MANSALEAN,Mansalean,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.686,123.384
40210195,MTSN 1 BANGGAI LAUT,JL. LAPANGAN BOLA NO. 1 MANSALEAN,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,MTs,NEGERI,-1.6824,123.3822
40200369,SD NEGERI 1 MANSALEAN,Mansalean,KEC. LABOBO ,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.6827,123.3829
40200204,SMP NEGERI 1 BANGGAI SELATAN,Jl. Mandapar No. 1  Bentean,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-1.6959,123.5236
40200266,SD INPRES BENTEAN,Desa Bentean,KEC. BANGGAI SELATAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.6895,123.5259
