npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40201932,SD INPRES MINAHAKI,Jl. Siswa,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4752,122.3827
40201712,SD NEGERI TOU,Desa Tou,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4669,122.4089
69960885,SMP NEGERI 11 TOILI,Jln. Pendidikan Nomor 1,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SMP,NEGERI,-1.466527,122.3890113
40201766,SD INPRES 4 TOILI,Desa Minakarya,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4675,122.3799
40201933,SD INPRES MINAKARYA,Jln. Setiabudi No. 01,Kec. Moilong,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4664,122.3794
40201608,SD NEGERI 6 TOILI,Desa Sentral Timur,Kec. Toili,Kab. Banggai,Prov. Sulawesi Tengah,SD,NEGERI,-1.4729,122.3642
40200269,SD INPRES APAL,Apal,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4817,122.8169
69944212,TK. PELITA HATI APAL,DESA APAL,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,TK,SWASTA,-1.4825,122.8191
40200370,SD NEGERI 1 LUMBI-LUMBIA,DESA LANDONAN BEBEAU,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4912,122.8233
40200319,SDN INPRES 2 LUMBI-LUMBIA,Desa Lumbi-Lumbia,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4871,122.8233
40200191,SMP TUNAS BANGSA LUMBI-LUMBIA,Jl. Lapangan Sentral No. 5 Lumbi-Lumbia,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,SWASTA,-1.4867,122.8233
40200273,SD INPRES 3 LUMBI-LUMBIA,Desa Lumbi-lumbia,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4835,122.8222
40200403,SD INPRES PALAPAT,Desa Palapat Kecamatan Buko Selatan,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5051,122.8269
40200253,SMAN 1 BUKO SELATAN,DS. LUMBI-LUMBIA,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMA,NEGERI,-1.4966,122.8271
40200215,SMP NEGERI 1 BUKO SELATAN,Jl. Batu Mesea  No. 09,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMP,NEGERI,-1.4906,122.8265
40200396,SD INPRES SAPELANG,Desa Sapelang,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4618,122.7873
69880390,SMTK BUKIT INSPIRASI LUMBI LUMBIA,JL. OSCAR KARAMOY,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SMTK,SWASTA,-1.4905,122.8291
40200293,SD INPRES BUKO,Buko,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.5082,122.8401
40200358,SD NEGERI ALANI,Alani,Kec. Buko Selatan,Kab. Banggai Kepulauan,Prov. Sulawesi Tengah,SD,NEGERI,-1.4893,122.8541
