npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40206645,SMP NEGERI SATU ATAP TOGONG SAGU,Jl. Desa Togong Sagu,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2097,123.155
40200225,SD NEGERI TOGONG SAGU,TOGONG SAGU,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.2095,123.1549
69932079,TK NEGERI 9 BANGKURUNG,DUSUN I,KEC. BANGKURUNG,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-2.209346,123.154743
40205728,SMP NEGERI SATU ATAP BUMI HIJRAH,Bumi Hijrah,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0594,123.5935
40200149,SD NEGERI BUMI HIJRAH,Bumi Hijrah,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.058867,123.593534
69931894,TK TAHZIBUL AKHLAQ,DUSUN II,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.072847,123.858708
40200112,SD NEGERI MBUANG-MBUANG,Mbuang-Mbuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.074,123.8603
40204220,SMP NEGERI SATU ATAP MBUANG-MBUANG,Jl. Bone No. 1 Desa Mbuang-mbuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0632,123.861
40200375,SD INPRES NGGASUANG,Jl. Nggasuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.044,123.7591
40206504,SMP NEGERI SATU ATAP NGGASUANG,Desa Nggasuang,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0418284,123.7760134
40204214,SD NEGERI BUMI BAHARI,Dusun IV Bumi Bahari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9932,123.4812
70003788,PAUD TERPADU HARAPAN BARU,Bumi Bahari,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-1.9927,123.4813
69931889,TK NEGERI 2 BOKAN KEPULAUAN,DUSUN I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,NEGERI,-2.009957,123.808794
40200376,SD INPRES NDINDIBUNG,Dusun I Desa Ndindibung,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0121,123.8111
40206534,SD NEGERI KEAK,Desa Keak,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-1.9908,123.7935
40204015,SMAN 1 BOKAN KEPULAUAN,JL. BOLOTONA NO. 10,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMA,NEGERI,-1.9878,123.7914
40200277,SDN Inpres Bolokut,Desa Bolokut,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0129,123.8309
69931964,PAUD MELATI,Dusun I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,KB,SWASTA,-2.014889,123.832569
69945601,SMPN SATU ATAP BOLOKUT,Jl. Abudjar No. 1,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0117,123.8301
69931526,TK NURUL ILMA,DUSUN I,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.013887,123.864523
40204002,SMP NEGERI SATU ATAP NDENDEK,Ndendek,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SMP,NEGERI,-2.0137,123.8644
69949982,PAUD  NURUL SALAM DUSUN NDENDEK,DUSUN II,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,TK,SWASTA,-2.013624,123.86438
40200377,SDN INPRES NDENDEK,NDENDEK,KEC. BOKAN KEPULAUAN,Kab. Banggai Laut,Prov. Sulawesi Tengah,SD,NEGERI,-2.0138,123.8645
