npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40205828,SMPN SATAP 3 RIO PAKAVA,jl. poros Palu-Ngovi,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SMP,NEGERI,-1.1889,119.5485
40200490,SDN 6 RIO PAKAVA,Desa Ngovi,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.188637,119.548508
40200636,SMP NEGERI 1 Rio Pakava,Rawa Sari,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SMP,NEGERI,-1.188433,119.54854
69988557,SD NEGERI 26 RIO PAKAVA,"Jl. Desa Ngovi Dusun Katasa, Kec. Rio Pakava",Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.211239,119.552781
69758987,SMKN 1 RIO PAKAVA,"Jln. Gajah Mada - Desa Bonemarawa, Kec. Rio Pakava",Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SMK,NEGERI,-1.236,119.5441
69948223,SDN 24 Rio Pakava,Dusun Ou SP II ,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.2126,119.5974
40209718,SDN 14 RIO PAKAVA,Pakava UPT Lalundu VI,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.218707,119.59715
69947725,SDN 22 RIO PAKAVA,Jl. Dusun Oyu,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.1761349,119.6112783
69947724,SDN 19 RIO PAKAVA,Jalan Tovalombo,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.1995785,119.6416682
69947723,SDN 17 RIO PAKAVA,"Jl.Nipolentora, Dusun Mantonge, Desa Pakava",Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.1724,119.6269
69947898,SDN 25 RIO PAKAVA,Jl.Trans SP III Desa Tinauka,Kec. Rio Pakava,Kab. Donggala,Prov. Sulawesi Tengah,SD,NEGERI,-1.2169442,119.7119989
40200839,SD INPRES 3 BALUASE,Desa Ramba,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.2104,119.8417
40200700,SD NEGERI ROGO,Jl. Palu Bangga,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.181361,119.885015
69844521,PAUD BAHAGIA,Jln Palu Bangga,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.1813559,119.885889
40200765,SD INPRES 1 BALUASE,Desa Baluase,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.191415,119.891736
69844483,TK PKK SAMANGGI INDAH BALUASE,JL. PALU BANGGA DESA BALUASE,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.2109833,119.8911133
40206051,TK SATU ATAP SD INP 1 BALUASE,JL. PALU-BANGGA,Kec. Dolo Selatan,Kab. Sigi,Prov. Sulawesi Tengah,TK,NEGERI,-1.1910714,119.8917738
