npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
60727748,MTSS AL AMIN NW,Jl. Jenderal Sudirman No. 17 Solonsa,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.404337,121.506147
69950415,SMP Negeri 4 Wita Ponda,Puntari Makmur,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.3965121,121.5416493
60727750,MTSS ISTIMBATUL HIKMAH,DESA EMEA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.384754,121.551115
69786233,SDN 2 BAHOEA REKO-REKO,BAHOEA REKO-REKO,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.3756,121.551
40210207,MTSS ALKHAIRAAT WOSU,JLN. TRANS SULAWESI DESA WOSU KEC. BUNGKU BARAT KAB. MOROWALI,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.374879,121.72207
60729539,MIS NURUL UMMAH FOLILI,DESA TOPOGARO,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.4388,121.7521
40209860,MAS AL-KHAERAAT WOSU,JL. TRANS SULAWESI,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.383802,121.788814
60729184,MIS AL-HUFFADH AMBUNU,DESA AMBUNU,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.398792,121.801663
69985135,SD NEGERI 3 BAHOEA REKO-REKO,TRANS KABERA DESA BAHOEA REKO-REKO,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.4155,121.8215
69786465,SMPS BP DDI KABERA,"Ds. KABERA, BAHOEA REKO-REKO",Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SMP,SWASTA,-2.4145,121.8289
69984177,TK TUNAS ILMU,UPT TRANS KABERA ,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.4253,121.8226
P2966444,Pkbm Tunas Ba`a,Sapta Marga No. 232,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,PKBM,SWASTA,-2.3778773,121.831729
60729538,MIS DDI KABERA,DESA KABERA,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.37702,121.835571
69920391,TK. ALKHAIRAAT NURUL HASANAH,DESA LAROBENU,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.361444,121.8196914
