npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
69726837,SD Negeri 2 Sintuwu ,jln.jepang Desa Sintuwu,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.188195,120.0557517
40200417,SD NEGERI KARUNIA,Jl. Pendidikan,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1946,120.0648
40206101,PAUD TERPADU NTOWEA RAHMAT,DESA RAHMAT,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.186921,120.070624
P9984730,PKBM ERLANGGA,Desa Ampera,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,PKBM,SWASTA,-1.1836,120.0727
40201015,SD INPRES WATUBOSE,Desa Bulili,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1879,120.0801
40201081,SD INPRES RAHMAT,Desa Rahmat,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.174,120.0681
40206190,SMP DDI WATUBOSE,Jl. Kebun Sari,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SMP,SWASTA,-1.1866535,120.0868911
69982483,SD NEGERI BULILI,Desa Bulili,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.186619,120.086908
40200704,SD NEGERI RAHMAT,Desa Rahmat,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1696,120.0693
40203830,SMP NEGERI 25 SIGI,Jl.Sri Rahmadi Desa Rahmat,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.169381,120.0703937
40204587,SMP SATAP NEGERI 1 SIGI,Desa Sopu,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.209414,120.095381
40200959,SD INPRES SINTUWU,Desa Sintuwu,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1586,120.0527
40201029,SD INPRES KAPIROE,Kapiroe,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1592,120.0491
69844477,TK IDAMAN,PALU PALOLO,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1580533,120.0527483
69844511,PAUD TUNAS HARAPAN,BULILI,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.18821,120.1037083
69964003,SMK NEGERI 4 SIGI,Desa Bulili,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SMK,NEGERI,-1.2239623,120.0988793
69844510,PAUD HARAPAN KITA,ANOA,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.1845067,120.1150083
40200941,SD INPRES SOPU,Desa Sopu,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1856,120.1162
69844474,TK BINA KASIH,DESA KADIDIA,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1899683,120.1241148
40201048,SD INPRES KADIDIA,Desa Kadidia,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1893,120.1244
69844507,PAUD TERPADU OLDEWEYS,"LORONG 2, KAMARORA, A",Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.1910316,120.1308433
40200656,SMP NEGERI 17 SIGI,Desa Kamarora,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.1883416,120.1335483
40200761,SD INPRES 1 KAMARORA,Desa Kamarora,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1885216,120.1348
40200902,SD BALA KESELAMATAN KAMARORA,Kamarora A,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.1875,120.1341
69844471,TK ANGGREK,DESA KAMARORA B,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1906083,120.1367216
69844473,TK MELATI,DESA KAMARORA.A KEC. NOKILALAKI,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1884075,120.1354766
40200831,SD INPRES 2 KAMARORA,Kamarora,Kec. Nokilalaki,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1898,120.1441
40200715,SD NEGERI SEJAHTERA,Sejahtera,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1607,120.1243
40206099,TK SINGGANI SEJAHTERA,DESA SEJAHTERA,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1568933,120.11975
40204657,SMP NEGERI 16 SIGI,Jln Poros Palu Palolo,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.1727,120.1539
40200847,SD INPRES 1 TONGOA,Desa Uenuni,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1721817,120.1540883
69844476,TK TUNAS HARAPAN,TRAN PALU NAPU,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.17195,120.1544049
69844514,KB TARBITUL AWALIAH,JL. TRANS PALU - PALOLO,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.172537,120.155411
40200673,SD NEGERI TONGOA SAMPOROA,Desa Tongoa,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1835,120.1618
69898930,SDN GUNUNG POTONG TONGOA,Dusun Tongoa,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.2184217,120.1730166
69930015,TK MUTIARA KASIH,TK MUTIARA KASIH,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.1664,120.1509
40200840,SD INPRES 2 TONGOA,Desa Uenuni,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1660633,120.1509717
40200667,SMP NEGERI 23 SIGI,JLN. PENDIDIKAN,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.18713,120.21058
40201039,SD INPRES LEMBANTONGOA,Desa Lembantongoa,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.1862,120.2105
69844512,KB ANATA,LEMBANTONGOA,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.1879233,120.2138917
40200691,SD NEGERI TOKELEMO,Dusun Tokelemo,Kec. Palolo,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.186515,120.2518733
