npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40205005,TK PONDOK BUDI LEMBOBARU,LEMBOBARU,Kec. Lembo,Kab. Morowali Utara,Prov. Sulawesi Tengah,TK,SWASTA,-2.277,121.1205
69899571,SMP Negeri 4 Lembo Raya,Desa Jamor Jaya,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SMP,NEGERI,-2.3064247,121.1989703
40202743,SD NEGERI 1 KOROWOU,Desa Korowou,Kec. Lembo,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.3323,121.2244
40202544,SEKOLAH DASAR NEGERI MANDULA,Mandula,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2826,121.2792
40202807,SD NEGERI DOLUPO KARYA,Desa Dolupo Karya,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2892,121.2889
40204522,SMP NEGERI 2 LEMBO RAYA,DESA POONA  KEC. LEMBO RAYA,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2625,121.2834
40202529,SD NEGERI PETUMBEA,Desa Petumbea,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2906,121.3387
69775325,SDN FOLILI,FOLILI,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.3016,121.5254
60727173,MIS AL-AMIEN NW,DESA SOLONSA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.333258,121.506147
60727749,MTSS DARUN NAJAH,JL. PAHLAWAN,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.281038,121.554016
60724709,SMP NEGERI 3 WITA PONDA SATU ATAP,Moahino,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2832,121.5669
60728240,MAS AL - AMIEN.NW,JALAN.JENDRAL SUDIRMAN NO.17 SOLONSA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.3055,121.6268
40204520,SMP NEGERI 2 BUMI RAYA,Desa Limbo Makmur,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2708,121.6619
40202545,SD NEGERI MARGA MULYA,Desa Marga Mulya,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2682,121.7441
60724752,SMP NEGERI 3 BUMI RAYA SATU ATAP,Jl. Desa Pebotoa,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.296,121.7767
40204570,SMP NEGERI 2 Bungku Barat ,Desa Topogaro,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2765,121.7826
40206561,SMP Berbasis Pesantren Lambelu,Berigin Jaya,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMP,SWASTA,-2.314,121.7909
40203930,SD NEGERI TOPOGARO,Desa Topogaro,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2699,121.7766
40210205,MTSS AL-KHAIRAAT AMBUNU,JL. TRANS SULAWESI,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.2593,121.7645
70011715,SD NEGERI 2 UMPANGA,TRANS UMPANGA,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.315,121.801
40202616,SD NEGERI UMPANGA,Desa Umpanga,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2925,121.8129
40202765,SD NEGERI LAROBENU,Desa Larobenu,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.3198,121.8301
40202503,SD NEGERI POONA,Desa Poona,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2484,121.2816
NP691408,SMK NEGERI 1 LEMBO RAYA,Desa Petumbea,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SMK,NEGERI,-2.252425,121.3666537
69920275,TK. GRAHA KRIDA,DESA UNGKAYA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.2316,121.5663
40202724,SD GRAHA KRIDA UNGKAYA,Desa Ungkaya,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,SWASTA,-2.2315,121.5724
60727174,MIS DARUN NAJAH,JL.PAHLAWAN,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.230267,121.580127
69880841,TK AL-HIKMA,DESA LAANTULA JAYA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.23455,121.623802
40204981,TK NEGERI 6 WITA PONDA,BUMI HARAPAN,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.2303,121.6041
69880894,KB KARTINI,DESA BUMI HARAPAN,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,KB,SWASTA,-2.2303,121.6041
40202716,SD NEGERI BUMI HARAPAN,Desa Bumi Harapan,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2293,121.6051
40202685,SD NEGERI 2 PUNTARI MAKMUR,"Desa Puntari Makmur, Jl. Achmad Yani",Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2401,121.6596
40202663,SD NEGERI 1 PUNTARI MAKMUR,Desa Puntari Makmur,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2385,121.658
40202690,SD NEGERI 2 LIMBO MAKMUR,Limbo Makmur,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2555,121.6833
40204925,TK ALKHAIRAAT MUSLIMAT,LIMBO MAKMUR,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.254266,121.683187
40202670,SD NEGERI 1 LIMBO MAKMUR,Limbo Makmur,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2521,121.6909
