npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40206086,KB PAUD YUVICA KALAMANTA,DESA KALAMANTA,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.948175,119.9319033
40200895,SD BALA KESELAMATAN KALAMANTA,Kalamanta,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.9480883,119.9318067
40207661,SD NEGERI TRANSMIGRASI BEAU,UPT WATUTAU/BEAU,Kec. Lore Peore,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.9506,120.1993
69768149,SMPN 2 LORE PEORE,DESA WANGA,Kec. Lore Peore,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.9364,120.2442
69934189,PAUD INTAN MANDIRI,DESA MAMU,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.8952633,119.9615767
40200905,SD BALA KESELAMATAN MAMU,Mamu,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.8947,119.9615
40203891,SD NEGERI TUARE,Jl. Lapangan No 56,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8937,120.1691
40201372,SD NEGERI TOMEHIPI,Tomehipi,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8878,120.1883
40201154,SD NEGERI RUNDE,Desa Runde,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.9009,120.2445
40201303,SMP NEGERI 1 LORE SELATAN,Lore Selatan,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8876,120.2388
40203787,SD BALA KESELAMATAN MASEWO,Masewo,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.8598,119.9735
69934186,PAUD ALANG SARI,DESA MASEWO,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.8597017,119.97338
40201187,SD NEGERI KAGEROA,Jl. Mekar No.55,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8824,120.1784
40203900,SMP NEGERI SATU ATAP KAGEROA,Kageroa,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8827,120.1791
40206451,PAUD TERPADU KALVARI LENGKEKA,Jalan Pelita,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,TK,SWASTA,-1.8719,120.2095
40201175,SD NEGERI LENGKEKA,Desa Lengkeka,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8718,120.2101
40201328,SMAN 1 LORE SELATAN,JL. BUMI JAMBU,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMA,NEGERI,-1.8824,120.2456
40201174,SD NEGERI GINTU,Jl. Protokol No.7,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8826,120.2488
40201164,SD NEGERI BEWA,Jl. Wisata No 45,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8759,120.2555
40201125,SD NEGERI PADA,Jl. Laora No.32,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.86,120.272
69787795,SMP NEGERI SATU ATAP BULILI,BULILI,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.893,120.33
40201193,SMP NEGERI 2 LORE SELATAN,Lore Selatan,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.859,120.2825
40201163,SD NEGERI BOMBA,Jln. Protokol No. 11,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8581,120.2831
40201179,SD NEGERI KOLORI,Jln. Air Terjun No. 06,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8477,120.2757
40201177,SD NEGERI LELIO,Jln. Besoa No. 06,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.8475,120.2769
40200915,SD BALA KESELAMATAN BANASU,Banasu,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.8141833,120.0167933
69934190,PAUD FLORA,DESA BANASU,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.8139717,120.0167317
40206090,KB PAUD CAHAYA BARU MAPALI,MAPALI,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.797055,120.0168533
40200792,SD BALA KESELAMATAN MAPAHI,Mapahi,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7963,120.0175
69948285,SMP NEGERI 1 LORE BARAT,Desa Kolori,Kec. Lore Barat,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.8232014,120.2320235
69820641,SD INPRES NTENUNU,DESA PEANA,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.77088,119.923985
40200784,SD BALA KESELAMATAN PEANA,Desa Peana,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7691,119.9224
40204483,SMP BALA KESELAMATAN PEANA,Peana,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SMP,SWASTA,-1.7689,119.9224
40205646,TK PKK PEANA,DESA PEANA,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.7679983,119.9190967
40200793,SD BALA KESELAMATAN PELEMPEA,Dusun Pelempea,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7939555,119.9876865
69898933,SMP NEGERI 32 SIGI,Desa Lawua,Kec. Kulawi Selatan,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.7927,120.0951
40201162,SD NEGERI BULILI,Jln. Kayu Manis No. 5 Bulili,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.7917,120.27
40203896,SD NEGERI BAKEKAU,Jl. Lorong Teratai No. 3,Kec. Lore Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.7842,120.2992
69961902,SMA NEGERI 13 SIGI,DESA PEANA.,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SMA,NEGERI,-1.7556,119.9185
69934194,PAUD AGRONIMA,DESA POLUROA,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.7486567,119.9075267
40200794,SD BALA KESELAMATAN POLUROA,Dusun III Poluroa,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7485649,119.9073333
69912987,PAUD TERPADU EDELWEIS,JL. PALU - PIPIKORO,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-1.752304,120.022545
40201031,SD INPRES KANTEWU,Kantewu,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.7361733,119.8899317
40206095,KB PAUD TUDUI NATO,DESA KANTEWU,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.73278,119.8971
40200903,SD BALA KESELAMATAN KANTEWU,Desa Kantewu,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7292,119.8974
40200629,SMP NEGERI 24 SIGI,Desa Kantewu,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-1.72805,119.901
40200788,SD BALA KESELAMATAN MORUI,Morui,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.7143,119.9321
69934191,PAUD CIPTA LESTARI,DESA MORUI,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.7132333,119.9318117
69934193,PAUD BERDIKARI,DESA TUWO,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-1.7330083,120.0696917
69880136,SD BALA KESELAMATAN TUWO,Tuwo,Kec. Pipikoro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-1.73303,120.0701417
69949588,SD NEGERI MOA,Desa Moa,Kec. Kulawi Selatan,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-1.7257415,120.0605391
40201170,SD NEGERI BARIRI,Desa Bariri,Kec. Lore Tengah,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.7233,120.2038
40201426,SD KRISTEN GKST HANGGIRA,Desa Hanggira,Kec. Lore Tengah,Kab. Poso,Prov. Sulawesi Tengah,SD,SWASTA,-1.7165,120.2096
40201159,SD NEGERI DODA,Desa Doda,Kec. Lore Tengah,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-1.7247,120.2548
40201302,SMP NEGERI 1 LORE TENGAH,Jalan Kahimpo No. 05 Doda,Kec. Lore Tengah,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-1.7221,120.2568
