npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40206401,TK EBEN HEIZER PETIRODONGI,Desa Petirodongi,Kec. Pamona Utara,Kab. Poso,Prov. Sulawesi Tengah,TK,SWASTA,-2.0763,120.5539
40201419,SDN 5 MAYOA,Jl. Kompi Brimob,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.0997,120.6267
60723405,MIN 2 POSO,JL. H. Adam Malik No. 9,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,MI,NEGERI,-2.112635,120.632859
40201465,SD NEGERI 1 BOE,Jl. Kasintuwu,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.0742,120.6497
69754413,SD NEGERI KODINA,Dusun Kodina,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.1244297,120.6826673
40201199,SMP NEGERI 1 PAMONA SELATAN,Jl. Makasar No. 132,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMP,NEGERI,-2.077,120.6845
40201425,SD NEGERI I PENDOLO,Jl Makasar No 117,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.0764,120.6846
40201414,SD NEGERI PANDAYORA,Pandayora,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.104,120.6922
40201386,SD GKST PENDOLO,Pendolo,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,SWASTA,-2.0719,120.6829
40201387,SD GKST PANDAYORA,Pandayora,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,SWASTA,-2.1085,120.6951
40201168,SD NEGERI BAWULU,Dusun Bawulu,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.0877,120.6962
40203885,SD NEGERI 8 MAYOA,Bangun Jaya,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.0991,120.7064
40201326,SMAN 1 PAMONA SELATAN,JL. S. PARMAN NO. 438,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SMA,NEGERI,-2.0714,120.6938
40210139,MTSN 3 POSO,JL. JEND. SUDIRMAN NO. 8,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,MTs,NEGERI,-2.1237,120.7106
40201420,SD NEGERI 4 MAYOA,Pandajaya,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.125,120.7099
