npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40200804,SD BALA KESELAMATAN MATANTIMALI,JL. GARDU JATI NO. 89,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9493301,119.7776671
40200908,SD BALA KESELAMATAN LEWARA,JL Dombu-Soi Desa Lewara Kec. Marawola Barat,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9381267,119.7630483
40200755,SD NEGERI WUGAGA,Jl. Dombu-Soi,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.9518,119.7517
69943465,SMP SATAP NEGERI 23 SIGI,desa lewara,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-0.9302767,119.7555417
40200745,SD NEGERI UWELOPI,Desa Lewara Dusun 3,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.9300717,119.7557033
40201105,SD INPRES MATANTIMALI,Jalan Palu-Dombu,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.9524596,119.7921095
40200900,SD BALA KESELAMATAN DOMBU,Desa Dombu,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9670983,119.7797283
40200635,SMP NEGERI 22 SIGI,JL. PRAMUKA NO 1,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-0.9682154,119.7816704
69962725,SMA NEGERI 11 SIGI,DOMBU,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SMA,NEGERI,-0.9694,119.7822
40200681,SD NEGERI SOI,Desa Soi Dusun Vanja,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.97203,119.7627983
40200674,SD NEGERI TAIPANGGABE,Desa Taipanggabe,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.96198,119.79349
40200459,SD NEGERI ONGULERO,Desa Ongulero,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.975,119.7738
40200782,SD BALA KESELAMATAN WAYU,Jl. Palu-bangga,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9617333,119.7965367
69734365,SMP SATAP NEGERI 18 SIGI,DESA ONGULERO,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SMP,NEGERI,-0.9776,119.7734
40200781,SD BALA KESELAMATAN WIAPORE,jl. Panesibaja,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9870867,119.7684666
70002116,SD BK WUGAGA,Jl. Dombu-Soi,Kec. Marawola Barat,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.9480795,119.8240556
40200439,SD NEGERI DODA,Jl. G. Gawalise,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.9256,119.8234
P9984802,PKBM MANDIRI,Jl. PRAMUKA,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,PKBM,SWASTA,-0.9745289,119.8074539
69844551,PAUD KB POMORE NU NGANA,DESA BALANE,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,KB,SWASTA,-0.945827,119.831485
40200548,SD NEGERI BALANE,Desa Balane,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,SD,NEGERI,-0.9461,119.8315
40205634,TK SOLERA BALANE,DESA BALANE,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,TK,SWASTA,-0.946093,119.831813
40200901,SD BALA KESELAMATAN DODA,Jln Gunung Gawalise,Kec. Kinovaro,Kab. Sigi,Prov. Sulawesi Tengah,SD,SWASTA,-0.922,119.8229
